idIsinCodeFk,mnemonicCode,fisnCode,nominalAmount,currencyCode,stockQuantity,operationYield,operationPrice,operationDate,operationHour,operationType,operationPart,settlementSystem,settlementDate,operationState,idMechanismOperationPk,indSendOtcApp,issuanceDate,expirationDate,operationRate,issuerName,shortName,checkDigit
DO1002261225,LE021026,BCENTRAL/ LT 20261002 GTIA,4510000,DOP,451,6.64706,98.67005,18/02/2026,05:28:28 PM,PLAZO,PRIMERA PARTE,ROTC,21/07/2026,CONFIRMADA,2969100,0,02/10/2025,02/10/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,57120
DO1002261225,LE021026,BCENTRAL/ LT 20261002 GTIA,4510000,DOP,451,7.25,95.747207,18/02/2026,05:28:27 PM,PRESTAMO,SEGUNDA PARTE,ROTC,21/07/2026,CONFIRMADA,2969101,0,02/10/2025,02/10/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,57918
DO1002261225,LE021026,BCENTRAL/ LT 20261002 GTIA,4510000,DOP,451,7.25,95.747207,18/02/2026,05:28:27 PM,PRESTAMO,PRIMERA PARTE,ROTC,19/02/2026,CONFIRMADA,2969101,0,02/10/2025,02/10/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,57995
DO1002261225,LE021026,BCENTRAL/ LT 20261002 GTIA,4510000,DOP,451,7.106702,95.747207,18/02/2026,05:28:25 PM,CONTADO,PRIMERA PARTE,ROTC,19/02/2026,CONFIRMADA,2969102,0,02/10/2025,02/10/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,58695
DO2016300223,BC1GUL02,GULFSTREAM/11.15 BO 20290624,373427,DOP,373427,10.3918,101.939656,18/02/2026,05:28:09 PM,ESTRUCTURADA,SEGUNDA PARTE,ROTC,19/06/2026,CONFIRMADA,2969092,0,24/06/2019,24/06/2029,2.816665,GULFSTREAM PETROLEUM DOMINICANA S DE RL,GULFSTREAM,63462
DO2016300223,BC1GUL02,GULFSTREAM/11.15 BO 20290624,373427,DOP,373427,11.1501,99.990649,18/02/2026,05:28:09 PM,ESTRUCTURADA,PRIMERA PARTE,ROTC,19/02/2026,CONFIRMADA,2969092,0,24/06/2019,24/06/2029,2.816665,GULFSTREAM PETROLEUM DOMINICANA S DE RL,GULFSTREAM,63175
DO2016300223,BC1GUL02,GULFSTREAM/11.15 BO 20290624,373427,DOP,373427,10.3918,101.939656,18/02/2026,05:28:08 PM,PRESTAMO,SEGUNDA PARTE,ROTC,19/06/2026,CONFIRMADA,2969093,0,24/06/2019,24/06/2029,2.816665,GULFSTREAM PETROLEUM DOMINICANA S DE RL,GULFSTREAM,61355
DO2016300223,BC1GUL02,GULFSTREAM/11.15 BO 20290624,373427,DOP,373427,11.1501,99.990649,18/02/2026,05:28:08 PM,PRESTAMO,PRIMERA PARTE,ROTC,19/02/2026,CONFIRMADA,2969093,0,24/06/2019,24/06/2029,2.816665,GULFSTREAM PETROLEUM DOMINICANA S DE RL,GULFSTREAM,61068
USP3579EDB04,BSRD2038, ,30000,USD,30,6.172543,101.251288,18/02/2026,05:27:07 PM,PLAZO,PRIMERA PARTE,ROTC,26/02/2026,CONFIRMADA,2969103,0,17/02/2026,17/05/2038,0,MINISTERIO DE HACIENDA,HACIENDA,47418
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,481755,DOP,481755,10.5612,102.515571,18/02/2026,05:26:07 PM,PRESTAMO,SEGUNDA PARTE,ROTC,23/03/2026,CONFIRMADA,2969057,0,30/11/2020,30/11/2030,0.684583,ACERO ESTRELLA S A,AESTRELLA,60361
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,481755,DOP,481755,11.2503,99.995226,18/02/2026,05:26:07 PM,PRESTAMO,PRIMERA PARTE,ROTC,20/02/2026,CONFIRMADA,2969057,0,30/11/2020,30/11/2030,0.684583,ACERO ESTRELLA S A,AESTRELLA,60207
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,481755,DOP,481755,10.5612,102.515571,18/02/2026,05:25:54 PM,ESTRUCTURADA,SEGUNDA PARTE,ROTC,23/03/2026,CONFIRMADA,2969056,0,30/11/2020,30/11/2030,0.684583,ACERO ESTRELLA S A,AESTRELLA,62468
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,481755,DOP,481755,11.2503,99.995226,18/02/2026,05:25:54 PM,ESTRUCTURADA,PRIMERA PARTE,ROTC,20/02/2026,CONFIRMADA,2969056,0,30/11/2020,30/11/2030,0.684583,ACERO ESTRELLA S A,AESTRELLA,62314
DO1002261225,LE021026,BCENTRAL/ LT 20261002 GTIA,2090000,DOP,209,7,95.69378,18/02/2026,05:24:42 PM,PRESTAMO,SEGUNDA PARTE,ROTC,20/04/2026,CONFIRMADA,2969096,0,02/10/2025,02/10/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,56518
DO1002261225,LE021026,BCENTRAL/ LT 20261002 GTIA,2090000,DOP,209,7,95.69378,18/02/2026,05:24:42 PM,PRESTAMO,PRIMERA PARTE,ROTC,19/02/2026,CONFIRMADA,2969096,0,02/10/2025,02/10/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,56623
USP3579ECB13,BSRD2028,"DOMINICAN, REP /6 BD 20280719 REGS",12000,USD,12,4,104.523902,18/02/2026,05:24:41 PM,PLAZO,PRIMERA PARTE,ROTC,26/02/2026,CONFIRMADA,2969099,0,19/07/2018,19/07/2028,0,MINISTERIO DE HACIENDA,HACIENDA,58947
DO1002261225,LE021026,BCENTRAL/ LT 20261002 GTIA,2090000,DOP,209,7.196282,96.807018,18/02/2026,05:24:40 PM,PLAZO,PRIMERA PARTE,ROTC,20/04/2026,CONFIRMADA,2969097,0,02/10/2025,02/10/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,57778
DO1002261225,LE021026,BCENTRAL/ LT 20261002 GTIA,2090000,DOP,209,7.2,95.69378,18/02/2026,05:24:39 PM,CONTADO,PRIMERA PARTE,ROTC,19/02/2026,CONFIRMADA,2969098,0,02/10/2025,02/10/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,56644
DO2014302619,BC1DPP26,DPP/6.25 BO 20270509 GTIA,1961,USD,1961,-2.0969,108.200408,18/02/2026,05:24:14 PM,ESTRUCTURADA,SEGUNDA PARTE,ROTC,20/05/2026,CONFIRMADA,2969090,0,09/05/2017,09/05/2027,1.075187,"DOMINICAN POWER PARTNERS, LDC",DPP,60137
DO2014302619,BC1DPP26,DPP/6.25 BO 20270509 GTIA,1961,USD,1961,0.4245,107.064328,18/02/2026,05:24:14 PM,ESTRUCTURADA,PRIMERA PARTE,ROTC,19/02/2026,CONFIRMADA,2969090,0,09/05/2017,09/05/2027,1.075187,"DOMINICAN POWER PARTNERS, LDC",DPP,59899
DO2014302619,BC1DPP26,DPP/6.25 BO 20270509 GTIA,1961,USD,1961,-2.0969,108.200408,18/02/2026,05:24:12 PM,PRESTAMO,SEGUNDA PARTE,ROTC,20/05/2026,CONFIRMADA,2969091,0,09/05/2017,09/05/2027,1.075187,"DOMINICAN POWER PARTNERS, LDC",DPP,58023
DO2014302619,BC1DPP26,DPP/6.25 BO 20270509 GTIA,1961,USD,1961,0.4245,107.064328,18/02/2026,05:24:12 PM,PRESTAMO,PRIMERA PARTE,ROTC,19/02/2026,CONFIRMADA,2969091,0,09/05/2017,09/05/2027,1.075187,"DOMINICAN POWER PARTNERS, LDC",DPP,57785
DO2016300223,BC1GUL02,GULFSTREAM/11.15 BO 20290624,354332,DOP,354332,10.3404,102.114302,18/02/2026,05:23:08 PM,PRESTAMO,SEGUNDA PARTE,ROTC,20/05/2026,CONFIRMADA,2969055,0,24/06/2019,24/06/2029,2.087499,GULFSTREAM PETROLEUM DOMINICANA S DE RL,GULFSTREAM,60921
